Horodatage; IDC 12102954 | Consommation | EA, Courbe Origine, Pertes incluses
02/01/2022 16:30:00;93,000
02/01/2022 16:40:00;88,000
02/01/2022 16:50:00;94,000
02/01/2022 17:00:00;95,000
02/01/2022 17:10:00;97,000
02/01/2022 17:20:00;97,000
02/01/2022 17:30:00;97,000
02/01/2022 17:40:00;102,000
02/01/2022 17:50:00;101,000
02/01/2022 18:00:00;101,000
02/01/2022 18:10:00;102,000
02/01/2022 18:20:00;100,000
02/01/2022 18:30:00;97,000
02/01/2022 18:40:00;100,000
02/01/2022 18:50:00;101,000
02/01/2022 19:00:00;106,000
02/01/2022 19:10:00;105,000
02/01/2022 19:20:00;102,000
02/01/2022 19:30:00;109,000
02/01/2022 19:40:00;113,000
02/01/2022 19:50:00;108,000
02/01/2022 20:00:00;106,000
02/01/2022 20:10:00;107,000
02/01/2022 20:20:00;106,000
02/01/2022 20:30:00;110,000
02/01/2022 20:40:00;106,000
02/01/2022 20:50:00;110,000
02/01/2022 21:00:00;108,000
02/01/2022 21:10:00;106,000
02/01/2022 21:20:00;106,000
02/01/2022 21:30:00;105,000
02/01/2022 21:40:00;108,000
02/01/2022 21:50:00;108,000
02/01/2022 22:00:00;107,000
02/01/2022 22:10:00;100,000
02/01/2022 22:20:00;98,000
02/01/2022 22:30:00;98,000
02/01/2022 22:40:00;100,000
02/01/2022 22:50:00;95,000
02/01/2022 23:00:00;97,000
02/01/2022 23:10:00;98,000
02/01/2022 23:20:00;94,000
02/01/2022 23:30:00;98,000
02/01/2022 23:40:00;95,000
02/01/2022 23:50:00;94,000
03/01/2022 00:00:00;96,000
03/01/2022 00:10:00;95,000
03/01/2022 00:20:00;100,000
03/01/2022 00:30:00;100,000
03/01/2022 00:40:00;94,000
03/01/2022 00:50:00;97,000
03/01/2022 01:00:00;96,000
03/01/2022 01:10:00;98,000
03/01/2022 01:20:00;98,000
03/01/2022 01:30:00;102,000
03/01/2022 01:40:00;105,000
03/01/2022 01:50:00;99,000
03/01/2022 02:00:00;101,000
03/01/2022 02:10:00;103,000
03/01/2022 02:20:00;101,000
03/01/2022 02:30:00;103,000
03/01/2022 02:40:00;103,000
03/01/2022 02:50:00;107,000
03/01/2022 03:00:00;102,000
03/01/2022 03:10:00;104,000
03/01/2022 03:20:00;107,000
03/01/2022 03:30:00;104,000
03/01/2022 03:40:00;101,000
03/01/2022 03:50:00;102,000
03/01/2022 04:00:00;103,000
03/01/2022 04:10:00;106,000
03/01/2022 04:20:00;103,000
03/01/2022 04:30:00;106,000
03/01/2022 04:40:00;104,000
03/01/2022 04:50:00;100,000
03/01/2022 05:00:00;107,000
03/01/2022 05:10:00;112,000
03/01/2022 05:20:00;121,000
03/01/2022 05:30:00;138,000
03/01/2022 05:40:00;153,000
03/01/2022 05:50:00;166,000
03/01/2022 06:00:00;226,000
03/01/2022 06:10:00;238,000
03/01/2022 06:20:00;256,000
03/01/2022 06:30:00;256,000
03/01/2022 06:40:00;282,000
03/01/2022 06:50:00;263,000
03/01/2022 07:00:00;273,000
03/01/2022 07:10:00;272,000
03/01/2022 07:20:00;296,000
03/01/2022 07:30:00;287,000
03/01/2022 07:40:00;303,000
03/01/2022 07:50:00;338,000
03/01/2022 08:00:00;341,000
03/01/2022 08:10:00;339,000
03/01/2022 08:20:00;358,000
03/01/2022 08:30:00;353,000
03/01/2022 08:40:00;406,000
03/01/2022 08:50:00;401,000
03/01/2022 09:00:00;386,000
03/01/2022 09:10:00;418,000
03/01/2022 09:20:00;434,000
03/01/2022 09:30:00;412,000
03/01/2022 09:40:00;407,000
03/01/2022 09:50:00;395,000
03/01/2022 10:00:00;420,000
03/01/2022 10:10:00;427,000
03/01/2022 10:20:00;403,000
03/01/2022 10:30:00;421,000
03/01/2022 10:40:00;368,000
03/01/2022 10:50:00;380,000
03/01/2022 11:00:00;406,000
03/01/2022 11:10:00;426,000
03/01/2022 11:20:00;417,000
03/01/2022 11:30:00;385,000
