ref;price by Wh;type;efficacite;gamme puissance;poids;region;dimension;prix theorique
BPDMJ72H(S)430-455;0.217;Bifacial, PERC;19.4 ~ 20.6;430 ~ 455;27;Chine;2111x1046x30;93.31
IBS144M2 540-550W;0.290;PERC;20.89 ~ 21.28;540 ~ 550;28.9;Espagne;2279x1134x35;156.6
TP-320P;0.162;Polycristallin;16.49;320;26.5;Chine;1956x992x40;51.84
JA SolarJAM72S20 445-470/MR;0.290;Monocristallin;20 ~ 21.2;445 ~ 470;24.5;Espagne;2112x1052x35;129.04999999999998
SF-M21/80 380~405W;0.287;Monocristallin;19.92 ~ 20.96;385 ~ 405;21.5;Chine;1760x1098x35;110.49499999999999
Spiration Series NKM-132M12 645-670;0.229;Monocristallin;20.8 ~ 21.6;645 ~ 670;34.5;Chine;2384x1303x35;147.705
RL350-370HM-120;0.229;Monocristallin;19.2 ~ 20.3;350 ~ 370;22.5;Chine;1755x1038x35;80.15
YS320-340DP;0.181;Bifacial;16.3 ~ 17.3;320 ~ 340;28;Chine;1984x998x7.6;57.92
MP-370W~395W;0.219;Monocristallin;18.44 ~ 19.69;370 ~ 395;72;Chine;1956x992x35;81.03
SKT525~550M10;0.248;PERC;20.3 ~ 21.3;525 ~ 550;28.6;Chine;2278x1134x35;130.2
AI-144HCM6-420-445;0.252;Monocristallin;18.92 ~ 20.05;420 ~ 445;--;Chine;2118x1048x35;105.84
GSP36;0.195;Polycristallin;13.7 ~ 16.7;135 ~ 165;17;Chine;1480x680x35;26.325
SW590-610M-120;0.238;Monocristallin;20.8 ~ 21.6;590 ~ 610;31.5;Chine;2172x1303x35;140.42
EYE120-20SPB;0.714;Monocristallin;20;120;2;Chine;1180x540x3;85.67999999999999
ZPM525~545MH5-72;0.239;Monocristallin;20.3 ~ 21.3;525 ~ 550;28.5;Chine;2279x1134x35;125.475
EE-STE-6M;0.238;Monocristallin;15.98 ~ 18.04;310 ~ 350;23;Inde;1956x992x50;73.78
RSM120P;0.238;Polycristallin;15.99;120;8.3;Chine;1120x670x30;28.56
JD-G1250H-210;0.214;PERC;19.9 ~ 20.7;485 ~ 505;28;Chine;2214x1100x35;103.78999999999999
SKT 305-340P6-24;0.229;Polycristallin;15.72 ~ 17.52;305 ~ 340;23;Chine;1956x992x40;69.845
OS-P36 70-100W;0.219;Polycristallin;18.3 ~ 19.2;100;--;Chine;1030x670x30;21.9
TPL S-48 Series 115W-135W;0.171;Monocristallin;13.5 ~ 15.61;115 ~ 135;8;Chine;1070x808x35;19.665000000000003
PW-72M460-480HM6;0.219;PERC;21.2 ~ 22.1;460 ~ 480;23.5;Chine;2094x1038x35;100.74
FL390 - 410MH;0.248;Monocristallin;19.38 ~ 20.38;390 ~ 410;23;Chine;2008x1002x40;96.72
410W-390W Mono Solar Module (Double G...;0.218;Monocristallin;19.38 ~ 20.38;390 ~ 410;22.5;Chine;2008x1002x40;85.02
GPNE-S60/FNHB 320-340W;0.210;Monocristallin;19 ~ 20.1;320 ~ 340;19;Chine;1684x1002x35;67.2
Black Panther RCM-440-460-7ME;0.228;PERC;20.33 ~ 21.25;440 ~ 460;23.5;France;1909x1134x20;100.32000000000001
SYM72-6-100P-120P;0.252;Polycristallin;17 ~ 17.7;100 ~ 120;9.5;Chine;1030x680x30;25.2
M3 Series MYM3048-245-265W;0.250;Monocristallin;18.3 ~ 19.8;245 ~ 265;15.2;Chine;1340x1000x35;61.25
Cortex P3 Bifacial series 440-460W;0.380;Bifacial;20.5 ~ 21.5;440 ~ 460;25;États-Unis;1903x1134x35;167.2
NS-300-315S6-60;0.186;PERC;18.44 ~ 19.35;300 ~ 315;18;Chine;1640x992x35;55.8
HRAP-144HBD530-550M10;0.232;Bifacial;20.5 ~ 21.3;530 ~ 550;32.3;Chine;2279x1134x30;122.96000000000001
GAMMA 380;0.320;Monocristallin;20.85;380;20.29;Italie;1755x1038x35;121.60000000000001
Risen EnergyRSM156-6-430-455M;0.289;PERC;19.8 ~ 21;430 ~ 455;25.5;Pologne;2178x996x40;124.27
Virtus II JC315-335S-24/Bbpw 1500V;0.220;Monocristallin;18.88 ~ 20.08;315 ~ 335;19;Chine;1665x1002x35;69.3
M6 120CELLS 360-380W Mono;0.229;Monocristallin;19.73 ~ 20.83;360 ~ 380;19.5;Chine;1756x1039x35;82.44
LF380M8-60H;0.229;Monocristallin;--;365 ~ 385;20;Chine;1755x1038x35;83.58500000000001
YS280-315DM;0.194;Bifacial;17 ~ 19.2;280 ~ 315;23.5;Chine;1664x998x7.6;54.32
M3 Series MYM3060-315-335W;0.250;Monocristallin;18.88 ~ 20.08;315 ~ 335;19;Chine;1666x1000x35;78.75
AI-60MG1-315-340;0.233;Monocristallin;18.88 ~ 20.38;315 ~ 340;--;Chine;1665x1002x35;73.39500000000001
HF144M6-435-455;0.219;Monocristallin;20 ~ 20.9;435 ~ 455;32;Chine;2008x1002x35;95.265
MP-350W-380W;0.219;Monocristallin;18.73 ~ 20.34;350 ~ 380;21;Chine;1956x992x35;76.65
KE-72MD 430-450W;0.247;PERC;19.8 ~ 20.7;430 ~ 450;24.5;Chine;2108x1048x35;106.21
Super HC Series 60M 310-330W;0.190;Monocristallin;18.67 ~ 19.87;310 ~ 330;18.2;Chine;1660x1000x35;58.9
GSM60;0.200;Monocristallin;15.09 ~ 16.94;245 ~ 275;21;Chine;1640x990x40;49.0
QSUN-M210-132S 650-665W;0.248;Monocristallin;20.9 ~ 21.4;650 ~ 665;35.7;Chine;2384x1303x35;161.2
TN-5BB-280P;0.143;Polycristallin;17.3;280;18;Chine;1640x992x35;40.04
TM Series 390-410W ALL BLACK;0.252;PERC;19.95 ~ 20.72;390 ~ 405;21;Espagne;1724x1134x30;98.28
LNVH-575-595M;0.209;Monocristallin;20.57 ~ 21.29;575 ~ 595;30;Chine;2465x1134x35;120.175
Virtus II JC380-400S-24/Abpw 1500V;0.220;Monocristallin;19.15 ~ 20.16;380 ~ 400;22.5;Chine;1980x110x40;83.6
FDS280-24P335;0.218;Polycristallin;17.2;335;23;Chine;1950x990x50;73.03
IBS144M -450BF Black Frame;0.285;PERC;20.58;450;24;Espagne;2102x1040x35;128.25
RSM125P;0.267;Polycristallin;14.64;125;8.3;Chine;1120x670x30;33.375
QS72P 315-335W;0.209;PERC;16.2 ~ 17.2;315 ~ 335;20.5;Chine;1940x990x40;65.835
OS-P36 120-150W;0.224;Polycristallin;18.5 ~ 19.1;120 ~ 150;--;Chine;1480x670x35;26.88
SUN 72M-H6 445-460;0.169;Monocristallin;20.14 ~ 20.82;445 ~ 460;24.8;Chine;2108x1048x35;75.205
SKT575~600M10;0.248;PERC;20.58 ~ 21.47;575 ~ 600;32;Chine;2464x1134x35;142.6
JD-M672H-166 435-355W;0.233;Monocristallin;20 ~ 20.9;435 ~ 455;25.5;Chine;2094x1038x35;101.355
Black Panther RCM-530-550-7MF;0.238;PERC;20.51 ~ 21.28;530 ~ 550;29;France;2279x1134x35;126.14
PST-330P-72;0.179;Polycristallin;17.01;330;22.8;Chine;1956x992x35;59.07
MS-M500(100)HC;0.244;PERC;20.85;500;27.5;Chine;2185x1098x35;122.0
JMPV-T1/60-600~610;0.259;PERC;21.2 ~ 21.55;600 ~ 610;32;Chine;2172x1303x35;155.4
ST60-210M SRP-590-610-BMA-HV;0.248;Monocristallin;20.8 ~ 21.6;590 ~ 610;30.9;Chine;2172x1303x35;146.32
HRAP-108H 400-420M10 Black;0.232;Monocristallin;20.46 ~ 21.48;400 ~ 420;21.5;Chine;1724x1134x30;92.80000000000001
GAMMA 390;0.330;Monocristallin;21.2;390;20.29;Italie;1755x1038x35;128.70000000000002
PIX PD2 48 190-225W;0.276;Polycristallin;14.38 ~ 17.03;190 ~ 225;15;Inde;1337x989x35;52.440000000000005
M10 132CELLS 480-500W;0.238;Monocristallin;20.21 ~ 21.06;480 ~ 500;26;Chine;2094x1134x35;114.24
INE-425-445-78MH (9BB);0.267;Monocristallin;19.6 ~ 20.5;425 ~ 445;25.5;Chine;2178x996x40;113.47500000000001
PW-60M595-605HG12;0.219;PERC;20.7 ~ 21.1;595 ~ 605;30.9;Chine;2200x1305x35;130.305
EE-STE-6P;0.238;Polycristallin;15.37 ~ 17.52;250 ~ 285;18.5;Inde;1640x992x40;59.5
Cortex P3 series 380-400W Ultra Black;0.380;PERC;19.95 ~ 21.22;380 ~ 400;20.7;États-Unis;1724x1134x30;144.4
415W-435W Mono Perc Bifacial;0.218;Monocristallin;18.5 ~ 19.4;415 ~ 435;24;Chine;2131x1052x35;90.47
TPL S-72 Series 185W-205W;0.171;Monocristallin;14.5 ~ 16.06;185 ~ 205;15;Chine;1580x808x35;31.635
FL350 - 370MH;0.257;Monocristallin;19.2 ~ 20;350 ~ 370;21;Chine;1768x1048x35;89.95
SF-M16/72 420-450W;0.243;Monocristallin;19.29 ~ 20.67;420 ~ 450;24;Chine;2070x1052x35;102.06
LF400M6-72H;0.218;Monocristallin;--;390 ~ 410;22.5;Chine;2008x1002x35;85.02
SYM36-6-150P-170P;0.252;Polycristallin;14.9 ~ 16.9;150 ~ 170;11;Chine;1480x680x35;37.8
SW370-400M-120;0.228;Monocristallin;20.3 ~ 21.96;370 ~ 400;21;Chine;1755x1038x35;84.36
HTM435-455MH3-72;0.267;Monocristallin;20.01 ~ 20.93;435 ~ 455;24;Chine;2094x1038x35;116.14500000000001
GPNE-S144/FNH 425-445W;0.189;Monocristallin;19.1 ~ 20;425 ~ 445;24;Chine;2115x1052x40;80.325
FSP 295-330W;0.257;Polycristallin;15.2 ~ 17.01;295 ~ 330;--;Chine;1960x992x40;75.815
Jinko SolarTiger Pro 72HC-BDVP 530-550W;0.250;Bifacial;20.55 ~ 21.29;530 ~ 550;34.3;Chine;2274x1134x30;132.5
144Cells - BMDG-525W-535W;0.198;Bifacial, PERC;20.2 ~ 20.6;525 ~ 535;32.5;Chine;2288x1134x30;103.95
Mono Bificial LR5-66HBD 475-550;0.205;Bifacial;20.2 ~ 21.3;475 ~ 500;30.6;Chine;2073x1133x35;97.375
SUN 60M-H6 370-385;0.169;Monocristallin;20 ~ 20.81;370 ~ 385;20.5;Chine;1765x1048x30;62.53
SF-M16/156 430-355W;0.250;Monocristallin;19.76 ~ 20.91;430 ~ 455;25.5;Chine;2172x1002x35;107.5
M3 Series MYM3072-380-400W;0.249;Monocristallin;19.16 ~ 20.17;380 ~ 400;22.3;Chine;1980x1000x35;94.62
MSMD380-400M6-HJT120DS;0.300;HJT;20.9 ~ 22;380 ~ 400;23.5;Allemagne;1755x1038x30;114.0
FLSE300-310MB 6MB Series;0.255;Monocristallin;18.5 ~ 19.1;300 ~ 310;18.5;Chine;1640x992x35;76.5
TPL P-72 Series 315W-340W;0.114;Polycristallin;16.28 ~ 17.5;315 ~ 340;23;Chine;1956x992x40;35.910000000000004
SKT245-280P-20;0.209;Polycristallin;15.06 ~ 17.21;245 ~ 280;20;Chine;1640x992x35;51.205
SYM36-6-150P-170P/5BB;0.252;Polycristallin;14.9 ~ 16.9;150 ~ 170;11;Chine;1480x680x30;37.8
ECO-270-290P-60;0.305;Polycristallin;16.5 ~ 17.7;270 ~ 290;18;Chine;1650x992x30;82.35
RL100HM;0.286;Monocristallin;14.93;100;--;Chine;1000x670x30;28.599999999999998
GAMMA 400;0.340;Monocristallin;21.79;400;20.29;Italie;1755x1038x35;136.0
FSM 295-330W Poly Solar Panel;0.257;Polycristallin;15.2 ~ 17.01;295 ~ 330;23;Chine;1960x992x40;75.815
MS-M450(144)HC;0.257;PERC;19.88;450;25;Chine;2094x1038x35;115.65
SKT385~410M10 All Black Dul-glass Bif...;0.248;PERC;19.8 ~ 21;385 ~ 410;20.5;Chine;1724x1134x30;95.48
LF340M6-60H;0.228;Monocristallin;--;325 ~ 345;18.5;Chine;1678x1002x35;74.10000000000001
PIX PD2 54 220-255W;0.276;Polycristallin;14.89 ~ 17.26;220 ~ 255;17;Inde;1496x989x35;60.720000000000006
TM Series 430-450W ALL BLACK;0.252;PERC;19.8 ~ 20.7;430 ~ 445;25;Espagne;2094x1038x35;108.36
MP-395W~415W;0.219;Monocristallin;20.18 ~ 21.2;395 ~ 415;22;Chine;1726x1134x35;86.505
YS340-375DM/;0.273;Bifacial;17.3 ~ 19.1;340 ~ 375;28;Chine;1984x998x7.6;92.82000000000001
GPNE-S120/FNH 350-370W;0.249;Monocristallin;18.7 ~ 19.8;350 ~ 370;20;Chine;1776x1052x35;87.15
EE-STM-6P1;0.238;Polycristallin;15.46 ~ 17.52;300 ~ 340;23;Inde;1956x992x50;71.39999999999999
CSI SolarHiKu CS3N-400-425MS;0.290;PERC;19.7 ~ 20.9;400 ~ 425;22.5;Espagne;1940x1048x35;115.99999999999999
Black Panther RCM-530-550-7MF-SW;0.238;PERC;20.51 ~ 21.28;530 ~ 550;29;France;2279x1134x35;126.14
Twin1.0 JC325-345S-Bbcp 1500V;0.209;Monocristallin;19.26 ~ 20.45;325 ~ 345;19;Chine;1684x1002x35;67.925
ZP5M 580-615 H60(H);0.240;Monocristallin;20.5 ~ 21.7;580 ~ 615;30.9;Chine;2172x1303x35;139.2
INE-MONO-144HC 390-410W;0.175;PERC;19.2 ~ 20.2;390 ~ 410;22.8;Chine;2024x1004x40;68.25
NS-350-375S6-72;0.181;PERC;18.04 ~ 19.32;350 ~ 375;22;Chine;1956x992x40;63.35
JA SolarJAM72S30 530-555/MR;0.248;Monocristallin;20.5 ~ 21.5;530 ~ 555;28.1;Chine;2278x1134x35;131.44
144 Half Cell - 450W;0.178;Monocristallin;20.4;450;25;Chine;2108x1048x40;80.1
INE-420-440-72M;0.267;PERC;19.2 ~ 20.1;420 ~ 440;24;Chine;2080x1052x35;112.14
Super HC Series 72M 370-390W;0.190;Monocristallin;18.68 ~ 19.69;370 ~ 390;22.2;Chine;1980x1000x40;70.3
QS275-345W;0.209;Polycristallin;16.9 ~ 17.3;275 ~ 345;--;Chine;--;57.474999999999994
OS-P60 250-270W;0.224;Polycristallin;18.6 ~ 20.2;250 ~ 270;--;Chine;1640x992x40;56.0
405W-385W Mono Bifacial Module;0.218;Monocristallin;18.81 ~ 19.65;385 ~ 405;22.5;Chine;2008x1002x40;83.93
JD440-465-DE17S;0.224;Monocristallin;20.2 ~ 21.4;440 ~ 465;23.2;Chine;2094x1036x35;98.56
JMPV-XV2/72-545~555;0.259;PERC;21.1 ~ 21.48;545 ~ 555;32.5;Chine;2278x1134x30;141.155
N type16BB 410-430W;0.231;Monocristallin;21 ~ 22;410 ~ 430;22;Chine;1722x1134x30;94.71000000000001
HTM470-490MH3-78;0.267;Monocristallin;20 ~ 20.85;470 ~ 490;27;Chine;2264x1038x40;125.49000000000001
HF144M10-525-545;0.219;Monocristallin;20.5 ~ 21.3;525 ~ 545;32.3;Chine;2256x1133x35;114.975
AL360~380M6;0.231;Monocristallin;19.8 ~ 20.9;360 ~ 380;19.5;Chine;1755x1038x35;83.16000000000001
SW370-400M-72;0.229;Monocristallin;19.07 ~ 20.61;370 ~ 400;22.5;Chine;1956x992x35;84.73
TN290W POLY;0.143;Polycristallin;18.3;290;19;Chine;1640x992x35;41.47
Cortex P3 Series 390-415W;0.380;PERC;19.95 ~ 21.22;390 ~ 415;20.7;États-Unis;1724x1134x30;148.2
PW-66M490-510HM10;0.219;PERC;20.64 ~ 21.48;490 ~ 510;26;Chine;2094x1134x35;107.31
ECO-400-410M-54LHC;0.280;Monocristallin;20.46 ~ 21;400 ~ 410;20.4;Chine;1724x1134x30;112.00000000000001
JD490-515-DE21M;0.224;Monocristallin;20.4 ~ 21.5;490 ~ 515;25.3;Chine;2186x1098x35;109.76
MSMD680-700G12-HJT132DS;0.300;HJT;21.89 ~ 22.53;680 ~ 700;38.7;Allemagne;2384x1303x35;204.0
OS-P72 200/300W;0.224;Polycristallin;18.8 ~ 19.5;200 ~ 300;--;Chine;1955x992x35;44.800000000000004
Super HC Series 120M 325-345W;0.190;Monocristallin;19.26 ~ 20.45;325 ~ 345;19;Chine;1684x1002x35;61.75
TN350-380M;0.171;Monocristallin;20.3;370;19.5;Chine;1755x1038x35;63.27
PIX PD2 60 250-285W;0.276;Polycristallin;15.28 ~ 17.42;250 ~ 285;19;Inde;1655x989x35;69.0
PW-78M590-605HM10;0.219;PERC;21.2 ~ 21.8;590 ~ 605;29;Chine;2455x1134x35;129.21
EE-STM-6P2;0.238;Polycristallin;15.2 ~ 17.01;295 ~ 330;27;Inde;1956x992x50;70.21
INE-520-540-96M;0.267;PERC;19.8 ~ 20.6;520 ~ 540;26;Chine;1980x1326x40;138.84
RL200-220HM-125;0.190;Monocristallin;15.06 ~ 17.23;200 ~ 220;--;Chine;1580x808x35;38.0
HTM435-455MH5-60;0.267;Monocristallin;20.09 ~ 21.02;435 ~ 455;25;Chine;1909x1134x35;116.14500000000001
M3 Series MYM3096-500-520W;0.237;Monocristallin;19.1 ~ 19.9;500 ~ 520;30.3;Chine;1980x1320x40;118.5
Twin1.0 JC390-410S-Abcp 1500V;0.262;Monocristallin;19.38 ~ 20.38;390 ~ 410;22.5;Chine;2008x1002x35;102.18
AL430-460M6;0.249;Monocristallin;19.8 ~ 21.2;430 ~ 460;23.3;Chine;2094x1038x35;107.07
144 Half Cell / 580W-590W;0.198;Monocristallin;20.7 ~ 21;580 ~ 590;33.5;Chine;2285x1134x30;114.84
JMPV-X1/72-545~555;0.258;PERC;21.1 ~ 21.48;545 ~ 555;27.8;Chine;2278x1134x35;140.61
RS6E150P;0.245;Polycristallin;15.29;150;11.5;Chine;1487x666x35;36.75
SKT215-240P-24;0.237;Polycristallin;14.64 ~ 16.35;215 ~ 240;17;Chine;1480x992x35;50.955
Risen EnergyRSM156-6-430-455M;0.229;PERC;19.8 ~ 21;430 ~ 455;25.5;Chine;2178x996x40;98.47
SPHM6-72L 395-415W;0.257;PERC;19.61 ~ 20.61;395 ~ 415;22.5;Chine;2018x1002x40;101.515
LR4-60HPB 345-375W;0.193;Monocristallin;18.9 ~ 20.6;345 ~ 375;19.5;Chine;1755x1038x35;66.58500000000001
SS-590-605WP;0.253;PERC;20.8 ~ 21.4;590 ~ 605;30.9;Chine;2172x1303x35;149.27
TPL M-60 Series 270W-290W;0.171;Monocristallin;17 ~ 18.35;270 ~ 290;18.5;Chine;1640x992x35;46.17
Iberian SolarIBS144M -450BF Black Frame;0.280;PERC;20.58;450;24;Espagne;2102x1040x35;126.00000000000001
RS7I-450-455M-BD;0.209;Bifacial;20.7 ~ 20.93;450 ~ 455;25.5;Chine;2094x1038x35;94.05
JST330-540M(72);0.190;Monocristallin;17.01 ~ 20.1;330 ~ 540;22;Chine;1956x992x40;62.7
LF395M6-72;0.227;Monocristallin;--;380 ~ 400;22.5;Chine;1979x1002x35;86.26
Black Panther RCM-390-410-7MG;0.249;PERC;19.95 ~ 20.97;390 ~ 410;21.5;France;1724x1134x20;97.11
TM Series 530-550W ALL BLACK;0.249;PERC;20.56 ~ 21.28;530 ~ 550;26.5;Espagne;2279x1134x35;131.97
FSM 270-305W Transparent;0.267;Monocristallin;16.4 ~ 18.5;270 ~ 300;--;Chine;1662x992x25;72.09
SW320-360M-60;0.209;Monocristallin;19.18 ~ 21.58;320 ~ 360;23;Chine;1665x1002x35;66.88
HF120MG1-320-340;0.219;Monocristallin;19 ~ 20.2;320 ~ 340;19;Chine;1689x1002x35;70.08
395W-375W Mono Solar Module;0.218;Monocristallin;19.23 ~ 20.25;375 ~ 395;22.6;Chine;1966x992x40;81.75
SUN 66MD-H12S 650-670;0.187;Bifacial, PERC;20.92 ~ 21.57;650 ~ 670;39.5;Chine;2384x1303x35;121.55
MS-M550(110);0.249;PERC;21.05;550;28.6;Chine;2384x1096x35;136.95
FLSE300-315M 6MB Series;0.255;Monocristallin;18.5 ~ 19.4;300 ~ 315;18.5;Chine;1640x992x35;76.5
Cortex P3 series 440-460W;0.380;PERC;20.5 ~ 21.5;440 ~ 460;23.5;États-Unis;1903x1134x35;167.2
MP-420W~460W;0.219;Monocristallin;18.9 ~ 20.7;420 ~ 460;24;Chine;2095x1039x35;91.98
YS390-410SM/PERC;0.195;PERC;19.4 ~ 20.4;390 ~ 410;22.7;Chine;2015x996x40;76.05
SYM72-6-200P-220P;0.238;Polycristallin;17 ~ 17.7;200 ~ 220;14.5;Chine;1320x990x35;47.599999999999994
GSM36;0.200;Monocristallin;13.12 ~ 16.2;100 ~ 105;8;Chine;1200x540x30;20.0
N type 16BB400-420W;0.236;Monocristallin;20.5 ~ 21.5;400 ~ 420;25.3;Chine;1722x1134x30;94.39999999999999
SKT525~550M10 Bifacial single glass t...;0.248;PERC;20.3 ~ 21.3;525 ~ 550;28.6;Chine;2278x1134x35;130.2
RL150-190HM;0.190;Monocristallin;14.91 ~ 18.88;150 ~ 190;--;Chine;1480x680x35;28.5
Black Panther RCM-580-605-7MN;0.245;PERC;20.94 ~ 21.84;580 ~ 605;31;France;2443x1134x35;142.1
PW-66M670-700HG12;0.219;PERC;21.44 ~ 22.4;670 ~ 700;33.6;Chine;2395x1305x35;146.73
PIX PD2 66 275-310W;0.276;Polycristallin;15.3 ~ 17.25;275 ~ 310;20;Inde;1814x989x35;75.9
SYM60-6-270P-290P;0.238;Polycristallin;16.5 ~ 17.7;270 ~ 290;15;Chine;1650x992x35;64.25999999999999
Cortex P3 series 530-560W;0.380;PERC;15.28 ~ 15.95;530 ~ 560;28;États-Unis;2274x1133x35;201.4
Super HC Series 144C 400-415W;0.190;Monocristallin;19.88 ~ 20.63;400 ~ 415;24;Chine;2008x1002x40;76.0
M6 Series MYM6036-195-215W;0.280;Monocristallin;17.73 ~ 19.55;195 ~ 215;12.5;Chine;1560x705x35;54.60000000000001
MP-470W~500W;0.219;Monocristallin;19.72 ~ 20.97;470 ~ 500;25;Chine;2104x1133x35;102.93
ECO-400-410M-54LHCblack;0.290;Monocristallin;20.46 ~ 21;400 ~ 410;20.4;Chine;1724x1134x30;115.99999999999999
CBG-32-100MZ;0.209;Monocristallin;19.3;100;6.3;Chine;680x760x30;20.9
AL440~460M10;0.238;Monocristallin;20 ~ 21.3;390 ~ 415;20.5;Chine;1722x1134x30;92.82
TN-400M-72;0.143;Monocristallin;20.16;400;22;Chine;1980x1002x35;57.199999999999996
AE HM6-60 320-335W;0.359;Monocristallin;19.01 ~ 19.9;320 ~ 335;19;Allemagne;1690x996x35;114.88
JD385-410-DE21M(10);0.224;Monocristallin;20 ~ 21.3;385 ~ 410;21;Chine;1754x1096x35;86.24
SUN 60MD-H12S 590-610;0.186;Bifacial, PERC;20.85 ~ 21.55;590 ~ 610;36;Chine;2172x1303x35;109.74
MSMDxxxM12-60 485-510W;0.300;Monocristallin;20.1 ~ 21.2;485 ~ 510;26.5;Allemagne;2185x1096x35;145.5
OS-M72-350W;0.248;Monocristallin;20.8;350;--;Chine;1955x992x35;86.8
LF325M6-60;0.233;Monocristallin;--;310 ~ 330;18.5;Chine;1660x1002x35;72.23
RSM100P;0.248;Polycristallin;15.44;100;7;Chine;1020x670x30;24.8
GSM 72 185-380W;0.195;Monocristallin;14.49 ~ 16.65;185 ~ 380;16;Chine;1580x808x40;36.075
Shingled SW380-410W;0.238;Monocristallin;19.6 ~ 20.9;385 ~ 410;22;Chine;1719x1140x35;91.63
JMPV-X1/54-410~420;0.259;PERC;21 ~ 21.51;410 ~ 420;20.7;Chine;1722x1134x30;106.19
TwinPower JC310-330S-24/Bgcd;0.225;Bifacial;18.05 ~ 19.21;310 ~ 330;22.4;Chine;1704x1008x30;69.75
HTM485-505MH5-66;0.267;Monocristallin;20.42 ~ 21.06;485 ~ 505;27;Chine;2094x1134x35;129.495
FCSF360-375M 6MA Series;0.255;Monocristallin;18.6 ~ 19.4;360 ~ 375;22;Chine;1956x992x40;91.8
Poly 144 Half Cell / 335W-345W;0.171;Polycristallin;16.95 ~ 17.46;335 ~ 345;22.3;Chine;1992x992x35;57.285000000000004
Mono 325-345W 120 Cells 9BB;0.210;Monocristallin;19.26 ~ 20.45;325 ~ 345;18;Chine;1684x1002x35;68.25
JS305-315M;0.249;Monocristallin;8.9 ~ 19.2;305 ~ 315;18.3;Chine;1640x992x35;75.945
FSP 320-340W Transparent;0.267;Polycristallin;16.3 ~ 17.3;320 ~ 340;--;Chine;1982x992x25;85.44
JT SGh 530-550W;0.248;PERC;20.5 ~ 21.3;530 ~ 550;29;Chine;2279x1134x35;131.44
GPNE-S120/FNH 355-380W;0.245;Monocristallin;19.2 ~ 20.6;355 ~ 380;20;Chine;1765x1048x35;86.975
TM Series 650-670W ALL BLACK;0.256;PERC;20.9 ~ 21.6;650 ~ 670;33.5;Espagne;2384x1303x35;166.4
SKT185-210P-24;0.244;Polycristallin;14.02 ~ 15.92;185 ~ 210;15;Chine;1330x992x35;45.14
JAM60D10/MB-330W-350W;0.200;Monocristallin;19.2 ~ 20.4;330 ~ 350;22;Chine;1711x1005x30;66.0
Iberian SolarIBS144M2 540-550W;0.290;PERC;20.89 ~ 21.28;540 ~ 550;28.9;Espagne;2279x1134x35;156.6
MS-M400(120)HC;0.257;PERC;20.18;400;21;Chine;1792x1106x30;102.8
TPL P-60 Series 255W-280W;0.105;Polycristallin;15.67 ~ 17.1;255 ~ 280;18.5;Chine;1640x992x35;26.775
N Type 16BB 545-570W DG;0.239;Monocristallin;21.1 ~ 22.1;545 ~ 570;32;Chine;2278x1134x30;130.255
INE-285-305-60PH;0.267;Polycristallin;17.1 ~ 18.3;285 ~ 305;18.5;Chine;1678x991x35;76.095
SPHM6-60 310-335W;0.238;PERC;18.58 ~ 20.08;310 ~ 335;18;Chine;1665x1002x35;73.78
EE-STM-6M;0.238;Monocristallin;15.98 ~ 18.04;310 ~ 350;23;Inde;1956x992x50;73.78
HF120M6-350-380;0.219;Monocristallin;19.2 ~ 20.9;350 ~ 380;19.5;Chine;1755x1038x35;76.65
HTM525-545MH5-72;0.267;Monocristallin;20.31 ~ 21.09;525 ~ 545;29;Chine;2279x1134x35;140.175
CBG-32-120MZ;0.209;Monocristallin;19.7;120;7.3;Chine;800x760x30;25.08
SYM72-6-325P-345P;0.238;Polycristallin;16.7 ~ 17.8;325 ~ 345;22;Chine;1956x992x40;77.35
N Type 16BB 545-570W;0.237;Monocristallin;21.1 ~ 22.1;545 ~ 570;28;Chine;2279x1134x35;129.165
JD360-385-DE17S(13);0.224;Monocristallin;19.8 ~ 21.1;360 ~ 385;19.2;Chine;1755x1038x35;80.64
Jinko SolarTiger Neo N-type 54HL4-(V) 410-430W;0.300;Monocristallin;21 ~ 22.02;410 ~ 430;22;Espagne;1722x1134x30;123.0
SKT160-180P-24;0.257;Polycristallin;13.9 ~ 15.64;160 ~ 180;13;Chine;1160x992x35;41.120000000000005
HF144MG1-390-410;0.219;Monocristallin;19.4 ~ 20.4;390 ~ 410;23;Chine;2008x1002x35;85.41
RL315-340HM-30V;0.229;PERC;18.89 ~ 20.38;315 ~ 340;--;Chine;1640x992x35;72.135
INE-340-360-72PH;0.267;Polycristallin;17.2 ~ 18.2;340 ~ 360;22.5;Chine;2000x991x40;90.78
MS-M400-410(80) HC;0.246;PERC;20.52 ~ 21.03;400 ~ 410;21;Chine;1775x1098x30;98.4
YS535-550M-SM;0.236;Monocristallin;20.7 ~ 21.3;535 ~ 550;27.3;Chine;2279x1134x35;126.25999999999999
SPHM6-60L 350-370W;0.248;Monocristallin;18.7 ~ 19.8;350 ~ 370;20;Chine;1776x1052x35;86.8
PIX PD2 72 305-335W;0.276;Polycristallin;15.39 ~ 16.88;305 ~ 335;22;Inde;1985x1000x35;84.18
TwinPower JC380-400S-Agcd;0.225;Bifacial;18.56 ~ 19.54;380 ~ 400;26.6;Chine;2031x1008x30;85.5
TR120-380M;0.212;Monocristallin;20.86;380;20;Chine;1717x1045x35;80.56
