ref;price by Wh;type;efficacite;gamme puissance;poids;region;dimension;prix theorique
AS-6M144-HC-435W~465W;0.233;Monocristallin;19.9 ~ 21.27;435 ~ 465;24;Chine;2102x1040x35;101.355
Spirit Series NKM-144M10 535-555;0.219;Monocristallin;20.7 ~ 21.5;535 ~ 555;29;Chine;2279x1134x35;117.165
OS-HP72-330-350W;0.248;Polycristallin;--;330 ~ 350;--;Chine;2015x996x35;81.84
HW-M10/144H 530-550;0.229;Monocristallin;20.5 ~ 21.3;530 ~ 550;28.6;Chine;2279x1134x35;121.37
CSI SolarHiKu6 CS6R-395-420MS;0.304;PERC;20.2 ~ 21.5;395 ~ 420;21.3;Tchèque;1722x1134x30;120.08
SUN 72M-H6 435-460W;0.182;Monocristallin;19.69 ~ 20.82;435 ~ 460;24.5;Chine;2108x1048x35;79.17
FSM 325-360W;0.267;Monocristallin;16.75 ~ 18.55;325 ~ 360;23;Chine;1960x992x40;86.775
Dark Phenex 400-410W;0.274;Bifacial, PERC;20.48 ~ 21;400 ~ 410;20.7;Jordanie;1722x1134x30;109.60000000000001
ESM 530-550S;0.209;PERC;20.5 ~ 21.3;530 ~ 550;28.5;Chine;2279x1134x35;110.77
SR-54MNHLPro 420-440W Aquaman Series;0.258;Monocristallin;21.52 ~ 22.54;420 ~ 440;20;Chine;1723x1133x30;108.36
JFS2-144-18X 525-545W;0.205;Monocristallin;20.3 ~ 21.1;525 ~ 545;27.2;Chine;2279x1134x35;107.625
9BB 166 LNSK-360-380M Half Cell;0.252;Monocristallin;19.73 ~ 20.83;360 ~ 380;20;Chine;1756x1039x35;90.72
AXIpremium XXL HC 530-540MH/144V;0.310;Monocristallin;20.52 ~ 21.09;530 ~ 545;28.5;Allemagne;2278x1134x35;164.3
NES108/400-410W;0.240;Monocristallin;20.48 ~ 21;400 ~ 410;21.5;Chine;1722x1134x35;96.0
TP132-650-670M/MB-9;0.205;PERC;18.98 ~ 20.15;650 ~ 670;37;Chine;2384x1303x35;133.25
JA SolarJAM72S20 445-470/MR;0.300;Monocristallin;20 ~ 21.2;445 ~ 470;24.5;Pologne;2112x1052x35;133.5
RT120WM;0.195;Monocristallin;15.9;120;6.8;Chine;1480x670x35;23.400000000000002
18 Series MBB Half Cell Mono 580-600W;0.238;Monocristallin;20.7 ~ 21.5;580 ~ 600;32.2;Chine;2465x1134x35;138.04
MSMD560-580G12-HJT110DS;0.300;HJT;21.4 ~ 22.2;560 ~ 580;32.3;Allemagne;2384x1096x35;168.0
SL5M108 415-430W Sliver White;0.238;Monocristallin;21.3 ~ 22;415 ~ 430;21.5;Chine;1722x1134x30;98.77
JMPV-T7/66-705-715(R);0.253;HJT, Bifacial;22.7 ~ 23.02;705 ~ 715;33.4;Chine;2384x1303x35;178.365
East Lux-ultra high efficient module ...;0.243;Monocristallin;20.57 ~ 21.28;575 ~ 595;31;Chine;2474x1130x40;139.725
DMEGC Solar EnergyDM375M6-60HSW;0.230;PERC;19.27 ~ 20.07;360 ~ 375;21.1;Pays-Bas;1776x1052x35;82.8
Cortex P3 series Bifacial 530-560W;0.390;Monocristallin;20.51 ~ 21.73;530 ~ 560;30.2;États-Unis;2274x1133x35;206.70000000000002
JD535-560-DE21M(18);0.214;Monocristallin;20.5 ~ 21.4;535 ~ 560;28;Chine;2384x1096x35;114.49
Mono450W-Mono 540-550Watt-600Watt-670...;0.251;PERC;20.93 ~ 22.56;535 ~ 700;27.2;Chine;2256x1133x35;134.285
RS6I-M 390-410W;0.255;Monocristallin;19.38 ~ 20.38;390 ~ 410;22.5;Chine;2008x1002x40;99.45
FDS100-12M;0.300;Monocristallin;17.7;100;7.3;Chine;910x700x35;30.0
UL-540-550M-144HV;0.243;Monocristallin;20.84 ~ 21.28;540 ~ 550;28.3;Chine;2279x1134x35;131.22
