ref,price by Wh,type,dimension,gamme puissance,efficacite,poids,region,prix theorique
DAH SolarDHM-T72X10/FS 545~560W,0.294,Monocristallin,2279x1134x32,545 ~ 560,21.09 ~ 21.67,29,Pologne,160.23
Puma RCM-635-660-SMT,0.245,PERC,2355x1303x35,635 ~ 660,20.7 ~ 21.5,34,France,155.575
AE SolarAE MC-144 440-450W,0.298,PERC,2094x1038x35,440 ~ 450,20.24 ~ 20.7,23,Pologne,131.12
RMH78-575~600S1,0.229,PERC,2464x1134x35,575 ~ 600,20.58 ~ 21.47,32.1,Belgique,131.675
EurenerMEPV 60 ULTRA 340-350,0.340,Monocristallin,1680x1016x35,340 ~ 350,20.29 ~ 20.98,19.5,Italie,115.60000000000001
CSI SolarHiKu7 CS7L580-610MS,0.300,PERC,2172x1303x35,580 ~ 610,20.5 ~ 21.6,31,Espagne,174.0
SE235-265M-33/D,0.190,Monocristallin,1590x1064x50,235 ~ 265,13.9 ~ 15.7,21,Allemagne,44.65
BETA 415,0.320,Monocristallin,1722x1134x35,415,21.25,21,Italie,132.8
IBS72P,0.275,Polycristallin,1956x992x40,330 ~ 340,17.01 ~ 17.52,22.5,Espagne,90.75000000000001
MSMDxxxM3-60 320W-345W,0.300,Monocristallin,1684x1002x40,320 ~ 345,19 ~ 20.4,19,Allemagne,96.0
AE SolarAE MD-108 395-415W,0.300,PERC,1724x1133x35,395 ~ 415,20.22 ~ 21.25,21.5,Pologne,118.5
Black Panther RCM-440-460-7BME,0.229,PERC,1909x1134x35,440 ~ 460,20.33 ~ 21.25,27,France,100.76
SE270M-24/B — SE300M-24/B,0.190,Monocristallin,1956x992x50,270 ~ 300,13.9 ~ 15.5,23,Allemagne,51.3
IBS144M PERC 430-450W,0.285,PERC,2108x1048x40,430 ~ 450,19.46 ~ 20.37,24,Espagne,122.54999999999998
TM Series 390-410W BIF,0.244,"Bifacial, PERC",1724x1134x30,390 ~ 410,19.95 ~ 20.97,21,Espagne,95.16
WattpowerWP405-420/G8-108H,0.285,PERC,1724x1134x30,405 ~ 420,20.7 ~ 21.5,21,Pologne,115.425
BETA 420,0.320,Monocristallin,1704x1134x35,420,22.02,21,Italie,134.4
Risen EnergyRSM144-9-525-545M,0.300,PERC,2288x1134x35,525 ~ 545,20.2 ~ 21,28,Italie,157.5
IBS72M PERC 375-380W,0.300,PERC,1956x992x40,375 ~ 380,19.33 ~ 19.58,21,Espagne,112.5
Black Panther RCM-485-510-7MM,0.238,PERC,2094x1134x30,485 ~ 510,20.42 ~ 21.85,26,France,115.42999999999999
BETA 430,0.330,Monocristallin,1722x1134x35,430,23,21,Italie,141.9
MSMDxxxM3-72 390W-410W,0.300,Monocristallin,2028x1002x40,390 ~ 410,19.2 ~ 20.2,27,Allemagne,117.0
TM Series 430-450W BIF,0.244,"Bifacial, PERC",2094x1038x35,430 ~ 450,19.8 ~ 20.9,25,Espagne,104.92
Leapton SolarLP182-M-72-MH 530-550W,0.280,Monocristallin,2279x1134x35,530 ~ 550,20.5 ~ 21.3,29,Pologne,148.4
SL185-72M - SL205-72M,0.190,Monocristallin,1580x808x35,185 ~ 205,14.5 ~ 16.1,15.5,Allemagne,35.15
CSI SolarHiKu6 CS6W-530-555MS,0.295,PERC,2261x1134x30,530 ~ 555,20.7 ~ 21.6,27.6,Espagne,156.35
LONGi SolarLR5-66HPH 480-505M,0.330,Monocristallin,2073x1133x35,480 ~ 505,20.4 ~ 21.5,25.1,Italie,158.4
AE SolarAE MD-144 530-550W,0.298,PERC,2278x1133x35,530 ~ 550,20.6 ~ 21.31,27,Pologne,157.94
TM Series 530-550W BIF,0.291,"Bifacial, PERC",2279x1134x35,530 ~ 550,20.56 ~ 21.28,26.5,Espagne,154.23
Phono SolarTwinPlus 535-555 Mono-PERC,0.300,PERC,2278x1134x35,535 ~ 555,20.71 ~ 21.48,29,Italie,160.5
BETA 440,0.350,Monocristallin,1722x1134x35,440,23.5,21,Italie,154.0
IBS72P 325-345W,0.275,Polycristallin,1956x992x35,325 ~ 345,16.75 ~ 17.78,20.5,Espagne,89.37500000000001
Black Panther RCM-430-450-6MF,0.228,PERC,2108x1048x35,430 ~ 450,19.5 ~ 20.3,24,France,98.04
MSMD - HD60NBG Power 375-400W,0.300,Bifacial,1773x1046x30,375 ~ 400,20.22 ~ 21.57,24,Allemagne,112.5
AE SolarAE MD-120 440-460W,0.298,Monocristallin,1910x1133x35,440 ~ 460,20.33 ~ 21.26,24,Pologne,131.12
SL185-200-72M-B Black,0.190,Monocristallin,1580x808x45,180 ~ 200,14.5 ~ 15.7,15.5,Allemagne,34.2
JA SolarJAM72S20 445-470/MR,0.288,Monocristallin,2112x1052x35,445 ~ 470,20 ~ 21.2,24.5,Pologne,128.16
EurenerMEPV 60 GLASS∙GLASS 310-330,0.400,Bifacial,1678x1002x30,310 ~ 330,18.45 ~ 19.64,24,Italie,124.0
SE220M-20/A — SE250M-20/A,0.190,Monocristallin,1640x992x50,220 ~ 250,13.5 ~ 15.7,20,Allemagne,41.8
MSMD - HD72NBG Power 445-470W,0.300,Bifacial,2111x1046x30,445 ~ 470,20.15 ~ 21.29,28,Allemagne,133.5
GAMMA 375,0.320,Monocristallin,1755x1038x35,375,20.58,20.29,Italie,120.0
TM Series 650-670W BIF,0.248,"Bifacial, PERC",2384x1303x35,650 ~ 670,20.9 ~ 21.6,33.5,Espagne,161.2
IBS72M All Black 380-390W,0.300,PERC,1956x992x40,380 ~ 390,19.59 ~ 20.09,21,Espagne,114.0
JA SolarJAM72S30 530-555/MR,0.295,Monocristallin,2278x1134x35,530 ~ 555,20.5 ~ 21.5,28.1,Pologne,156.35
Black Panther RCM-370-390-6MM,0.198,PERC,1925x1038x35,370 ~ 390,18.52 ~ 19.52,21.8,France,73.26
EurenerMEPV 144 Half-cut 430-460,0.345,Monocristallin,2108x1048x35,430 ~ 460,19.54 ~ 20.82,25,Italie,148.35
TM Series 360-375W ALL BLACK,0.255,PERC,1755x1038x30,360 ~ 375,19.76 ~ 20.59,--,Espagne,91.8
ZX235(48)MS — ZX265(48)MS,0.190,Monocristallin,1575x1082x45,235 ~ 265,13.79 ~ 15.55,22,Allemagne,44.65
IBS144M2 540-550W,0.290,PERC,2279x1134x35,540 ~ 550,20.89 ~ 21.28,28.9,Espagne,156.6
JA SolarJAM72S20 445-470/MR,0.290,Monocristallin,2112x1052x35,445 ~ 470,20 ~ 21.2,24.5,Espagne,129.04999999999998
Black Panther RCM-440-460-7ME,0.228,PERC,1909x1134x20,440 ~ 460,20.33 ~ 21.25,23.5,France,100.32000000000001
GAMMA 380,0.320,Monocristallin,1755x1038x35,380,20.85,20.29,Italie,121.60000000000001
Risen EnergyRSM156-6-430-455M,0.289,PERC,2178x996x40,430 ~ 455,19.8 ~ 21,25.5,Pologne,124.27
TM Series 390-410W ALL BLACK,0.252,PERC,1724x1134x30,390 ~ 405,19.95 ~ 20.72,21,Espagne,98.28
IBS144M -450BF Black Frame,0.285,PERC,2102x1040x35,450,20.58,24,Espagne,128.25
Black Panther RCM-530-550-7MF,0.238,PERC,2279x1134x35,530 ~ 550,20.51 ~ 21.28,29,France,126.14
GAMMA 390,0.330,Monocristallin,1755x1038x35,390,21.2,20.29,Italie,128.70000000000002
MSMD380-400M6-HJT120DS,0.300,HJT,1755x1038x30,380 ~ 400,20.9 ~ 22,23.5,Allemagne,114.0
GAMMA 400,0.340,Monocristallin,1755x1038x35,400,21.79,20.29,Italie,136.0
TM Series 430-450W ALL BLACK,0.252,PERC,2094x1038x35,430 ~ 445,19.8 ~ 20.7,25,Espagne,108.36
CSI SolarHiKu CS3N-400-425MS,0.290,PERC,1940x1048x35,400 ~ 425,19.7 ~ 20.9,22.5,Espagne,115.99999999999999
Black Panther RCM-530-550-7MF-SW,0.238,PERC,2279x1134x35,530 ~ 550,20.51 ~ 21.28,29,France,126.14
MSMD680-700G12-HJT132DS,0.300,HJT,2384x1303x35,680 ~ 700,21.89 ~ 22.53,38.7,Allemagne,204.0
Iberian SolarIBS144M -450BF Black Frame,0.280,PERC,2102x1040x35,450,20.58,24,Espagne,126.00000000000001
Black Panther RCM-390-410-7MG,0.249,PERC,1724x1134x20,390 ~ 410,19.95 ~ 20.97,21.5,France,97.11
